Entity,Year,rice_production,tomatoes_production ,tea_production,potatoes_production,cocoa_beans_production,meat_chicken_production,bananas_production
Albania,1988,8830,441590,100,60000,100,6000,31640916
Albania,1989,8450,511260,100,97000,100,6750,31476308
Albania,1990,7000,402020,110,80000,92,6700,30822052
Albania,1991,2283,534427,115,85966,197.09,6300,31631110
Albania,1992,960,596542,120,78525,200,2500,175000
Albania,1993,585,828747,130,101527,200,3300,185000
Albania,1994,0,694755,128,88918,200,3700,200000
Albania,1995,0,858637,176,133910,200,3900,205000
Albania,1996,0,719000,225,131590,200,3500,210000
Albania,1997,0,688527,500,126729,166.85,3700,210000
Albania,1998,0,752277,627,144996,145.41,5100,213000
Albania,1999,0,954804,580,161900,100,5000,213000
Albania,2000,0,341447,570,161000,200,4000,250000
Albania,2001,0,373534,570,163700,198.83,4000,300000
Albania,2002,0,401364,650,163100,190,6000,300000
Albania,2003,0,456933,1130,158200,200,8000,250000
Albania,2004,0,512195,1100,159800,222.12,9000,300000
Albania,2005,0,513780,1455,169300,241.81,9000,320000
Albania,2006,0,548934,1566,162600,265.87,10000,250000
Albania,2007,0,567313,1440,154900,297.38,13000,300000
Albania,2008,0,559249,640,190000,316.45,16000,280000
Albania,2009,0,641034,480,200000,335.6,17000,300000
Albania,2010,0,718235,200,208000,354.29,17000,300000
Albania,2011,0,771606,290,230100,372.2,17100,280000
Albania,2012,0,796963,320,233000,400,16000,275000
Albania,2013,0,975075,335,236700,410,17000,275000
Albania,2014,0,1065609.2,390,240000,418.19,12775,280000
Albania,2015,0,1163766,430,245000,428.72,12905,275000
Albania,2016,0,1280570,440,238345,438.21,12702,270000
Albania,2017,0,1286286,500,249804,447.67,12912,275000
Albania,2018,0,1309745.1,5000,254543,438.2,15587.27,280000
Albania,2019,0,1477878,5044,260661,441.36,11633.32,280000
Albania,2020,0,1635616.2,6133,254886,442.41,12233.91,275000
Albania,2021,0,1641636,6231,258862,440.66,13250,270000
Algeria,1961,9512,6977339,6228,244300,8229,14140,280000
Algeria,1962,8000,8178469,3365,250000,8117,15460,290000
Algeria,1963,6659,6851726,3512,206200,8044,16470,285000
Algeria,1964,5014,7620576,3854,187813,8695,18100,290000
Algeria,1965,5530,7698813,4586,232650,8541,19940,300000
Algeria,1966,5550,8055595,5848,170124,9392,21570,305000
Algeria,1967,4558,8763612,6547,203520,9703,23018,300000
Algeria,1968,6110,10327596,6568,272162,9874,24520,310000
Algeria,1969,6711,8305109,6471,224083,10733,25840,290000
Algeria,1970,2166,8826211,6445,262050,11558,27060,300000
Algeria,1971,1568,9434569,7681,273647,12329,28500,350000
Algeria,1972,2218,10159256,7820,268320,12321,30000,480000
Algeria,1973,2447,10252048,7741,299166,13466,32000,650000
Algeria,1974,2520,11961499,9196,394659,19791,34000,800000
Algeria,1975,1600,13099506,9398,575068,22134,36000,960000
Algeria,1976,1279,11144145,9707,492942,23699,38000,1100000
Algeria,1977,1409,12629703,10081,472206,27293,40000,1397652
Algeria,1978,291,12256375,11272,472894,32977,42000,1722507
Algeria,1979,1000,13523023,9196,501352,43794,44000,1985263
Algeria,1980,1200,12380087,10703,590600,58517,60000,2047955
Algeria,1981,1200,11862915,10823,528207,75350,72000,2646073
Algeria,1982,1200,13985441,12130,415102,92928,88000,2991454
Algeria,1983,1200,13590545,12168,490645,101933,100000,3095013
Algeria,1984,1200,14749424,9521,520920,130156,150000,3483431.5
Algeria,1985,1200,14596560,9838,814700,147686,160000,3595306
Algeria,1986,1240,15056892,9813,811660,179791,170000,3718579
Algeria,1987,1300,15440639,18,904610,235972,172000,3915948
Algeria,1988,1480,16122890,79,898800,328452,182000,3954036
Algeria,1989,1480,18016200,92,1000700,373198,186000,4036959
Algeria,1990,1540,18936932,147,808541,409804,194000,4204538
Algeria,1991,1500,19116020,325,1077350,425545,197000,4345799
Algeria,1992,1410.14,17010478,487,1157520,446846,199000,5
Algeria,1993,1289.67,18423840,656,1065220,475598,204000,8
Algeria,1994,1243.63,20513420,829,715936,437622,210000,10
Algeria,1995,1158.48,21067484,819,1200000,427656,208000,12
Algeria,1996,1072.89,21215444,1278,1150000,489180,215000,15
Algeria,1997,300,19671100,1457,947518,453425,220000,18
Algeria,1998,492.49,19487372,1431,1100000,563571,245000,20
Algeria,1999,456.36,24102912,1612,996268,468228,232000,8
Algeria,2000,437.39,22885280,1454,1207690,509218.66,240000,32
Algeria,2001,418.68,21247896,2271,967232,612544.06,236000,12
Algeria,2002,400.24,24266752,2178,1333465,683484.4,243000,23
Algeria,2003,425.06,22733318,2334,1879918,749111.6,253000,11
Algeria,2004,413.92,25619650,3445,1896270,743254.75,253000,232
Algeria,2005,390.19,23476390,4145,2156550,794786.9,253000,152
Algeria,2006,359.98,23778602,3598,2180961,819692.8,253000,476
Algeria,2007,348.33,25729722,4382,1506859,793102.7,254000,514
Algeria,2008,334.32,25242604,3721,2171058,849932.56,254000,634
Algeria,2009,320.23,27125418,3862,2636057,847357.4,254000,47
Algeria,2010,311.54,25624650,4040,3300312,880834.1,252000,80
Algeria,2011,320.01,25425756,83,3862194,738361.25,258000,70
Algeria,2012,300,26667386,136,4219476,764119.06,262000,70
Algeria,2013,320,26365752,242,4886538,743422,267000,70
Algeria,2014,320,28410146,341,4673515.5,753615.2,256739.05,84
Algeria,2015,280.6,27586334,517,4539577,619047.9,258695.66,100
Algeria,2016,306.87,26180788,650,4759676.5,683819.2,261416.1,120
Algeria,2017,316.14,24680056,750,4606402.5,619492.94,259962.67,130
Algeria,2018,315.34,26658262,1071,4653322,798501.6,261875.17,140
Algeria,2019,312.78,24323946,978,5020249,773082.9,257907.69,137.07
Algeria,2020,314.75,23931084,1028,4659482,760439.56,257787.1,136.1
Algeria,2021,314.29,23681040,1110,4360880,769204.4,257644.62,137.29
Americas (FAO),1961,10571098,1000,1296,22570750,8229,3293780,150
Americas (FAO),1962,11495457,1000,1471,20922112,8117,3351593,155.32
Americas (FAO),1963,11732419,1000,935,21263980,8044,3546580,160
Americas (FAO),1964,12737222,1000,1572,20749586,8695,3702220,170
Americas (FAO),1965,14363854,1000,1003,23804806,8541,4032822,160
Americas (FAO),1966,13027046,2000,1730,24029006,9392,4361271,180
Americas (FAO),1967,14441508,2000,1800,24258476,9703,4530812,200
Americas (FAO),1968,14918992,3000,2107,24433008,9874,4612490,210
Americas (FAO),1969,14458180,3000,1882,25714880,10733,4957896,220
Americas (FAO),1970,15706664,4000,2131,26859476,11558,5373983,217.96
Americas (FAO),1971,14714575,4000,1800,26074816,12329,5434963,223.17
Americas (FAO),1972,14852724,4000,2104,23698120,12321,5736947,221.96
Americas (FAO),1973,16050688,5000,2279,24252312,13466,5807065,225
Americas (FAO),1974,17371532,5000,2114,28011568,19791,6009281,228.27
Americas (FAO),1975,19869604,5000,2516,26074412,22134,5983804,224.62
Americas (FAO),1976,20584628,6000,2564,28313870,23699,6615650,239.42
Americas (FAO),1977,19705808,6000,2500,28763064,27293,6899702,250
Americas (FAO),1978,19628360,7000,2452,30033038,32977,7408979,255.29
Americas (FAO),1979,20323770,7000,2900,29274308,43794,8290412,259.17
Americas (FAO),1980,23072838,7000,40,26752304,58517,8900519,262.94
Americas (FAO),1981,24100322,8000,50,30053076,75350,9518071,231.19
Americas (FAO),1982,24502482,8000,60,30682572,92928,9790449,184.68
Americas (FAO),1983,19361844,9000,100,27897216,101933,9910707,128.81
Americas (FAO),1984,23245888,9000,130,31393260,130156,10067070,70.49
Americas (FAO),1985,23127636,10000,60,33033544,147686,10613838,4.7
Americas (FAO),1986,23670506,10000,70,30464368,179791,11292571,4.89
Americas (FAO),1987,24465468,10000,110,32716996,235972,12281990,11649
Americas (FAO),1988,27114496,11000,100,32539760,328452,12798526,47250
Americas (FAO),1989,26857858,12000,130,32251572,373198,13262399,36380
Americas (FAO),1990,22655618,13000,100,32712184,409804,14361519,65500
Americas (FAO),1991,24265352,13500,130,33557970,425545,15653216,37000
Americas (FAO),1992,26883328,14000,203,34617640,446846,16775649,103760
Americas (FAO),1993,25809620,13000,372,35718224,475598,18065256,129616
Americas (FAO),1994,29085066,13494,453,38706470,437622,19435718,53360
Americas (FAO),1995,29157538,14000,473,38694080,427656,21037384,140900
Americas (FAO),1996,27219876,15000,595,40995050,489180,21696488,223440
Americas (FAO),1997,28244834,14000,555,40997650,453425,22907612,224800
Americas (FAO),1998,26729614,15000,676,41630110,563571,24057252,312700
Americas (FAO),1999,33872972,11000,79000,42442050,468228,26045628,352160
Americas (FAO),2000,31666184,13000,74000,42190524,509218.66,27230794,399400
Americas (FAO),2001,31899600,13898.63,84000,39287640,612544.06,28366352,373900
Americas (FAO),2002,31743420,14053.82,92000,41136216,683484.4,29682004,277500
Americas (FAO),2003,31749066,14170.69,100600,41829850,749111.6,30549302,220000
Americas (FAO),2004,36781400,14268.82,106000,41287780,743254.75,32543482,128700
Americas (FAO),2005,36211492,14372.55,113000,39131652,794786.9,33012022,144000
Americas (FAO),2006,33684604,14453.76,118000,41206212,819692.8,33927764,146200
Americas (FAO),2007,33153490,14000,122000,41915500,793102.7,35519116,77000
Americas (FAO),2008,35388044,14794.77,136000,40118200,849932.56,37553170,88700
Americas (FAO),2009,37697428,15035.91,153000,40883150,847357.4,37056360,126100
Americas (FAO),2010,36503544,15500,170000,40572816,880834.1,38915464,161000
Americas (FAO),2011,37078736,15633.52,182000,42460090,738361.25,40371190,163400
Americas (FAO),2012,36118490,16500,198000,44477624,764119.06,40543760,190000
Americas (FAO),2013,36016530,17000,211000,43510612,743422,41692016,243000
Americas (FAO),2014,38030090,16696.32,233500,44193636,753615.2,42961252,323600
Americas (FAO),2015,37270344,16262.8,252100,45085944,619047.9,44687000,209937
Americas (FAO),2016,36922120,16359.24,268000,46463016,683819.2,45253896,200558
Americas (FAO),2017,36588508,16435.89,277100,46595572,619492.94,46307310,194200
Americas (FAO),2018,38420410,16504.71,304000,45914268,798501.6,47027550,182680
Americas (FAO),2019,34636948,16604.1,343000,45486050,773082.9,48357196,181220
Americas (FAO),2020,38335804,16707.17,397000,45680084,760439.56,48846228,142190
Americas (FAO),2021,37735464,16810.25,400550,46151292,769204.4,50175664,171084
Angola,1961,29000,5,414000,15000,17,3060,117350
Angola,1962,23000,5,432337,15000,2,3150,160800
Angola,1963,25000,10,460468,25000,58,3240,172850
Angola,1964,26000,15,509000,30000,50,3330,175000
Angola,1965,32000,20,545416,30000,55,3420,175000
Angola,1966,30000,30,534876,30000,20,3825,174845.38
Angola,1967,33000,50,540070,31000,25,4095,180000
Angola,1968,15148,70,97064,32000,35,4426.2,175718.8
Angola,1969,15945,90,93753,34000,12,4894.2,175418.14
Angola,1970,29950,110,105104,34000,17,5772.6,177057.56
Angola,1971,27791,130,110306,34000,20,6075,181000
Angola,1972,20347,146,121330,34000,25,6210,182000
Angola,1973,29051,82,127510,35000,37,6345,180000
Angola,1974,16779,50,137403,35000,40,6435,170000
Angola,1975,20000,96,142418,32000,42,6480,171038.84
Angola,1976,20000,91,148248,35000,42,6525,174901.47
Angola,1977,20000,39,163468,40000,45,6570,175203.3
Angola,1978,15000,140,179984,35000,45,6615,175334.11
Angola,1979,13000,136,196229,40000,45,6660,175890.64
Angola,1980,11000,96,210639,40000,44,6705,176076.16
Angola,1981,10000,358,222173,40000,44,6750,176237.08
Angola,1982,10000,171,237092,40000,42,6795,176409.62
Angola,1983,8000,285,258258,40000,41,6840,176490.6
Angola,1984,8000,81,278403,40000,55,6885,176216.44
Angola,1985,5000,150,293854,40000,64,6894,176417.73
Angola,1986,5000,150,304155,40000,80,6930,176619.03
Angola,1987,2000,140,328479,40000,66,6975,6378404
Angola,1988,2000,168,368223,40000,57,7020,6590241
Angola,1989,3000,180,421051,35000,83,7065,6996330
Angola,1990,3000,190,424858,34000,167,7110,7331126
Angola,1991,4000,200,438365,36000,91,7155,8675527
Angola,1992,4000,220,455540,40000,143,7200,9073802
Angola,1993,4000,211.33,484358,14000,72,7290,8889221
Angola,1994,21000,207.64,534578,27000,24,7290,8752876
Angola,1995,19000,200,568973,27500,34,7335,9083915
Angola,1996,14000,220,557006,28000,55,7380,9628950
Angola,1997,12000,230,562369,24000,84,7425,10153632
Angola,1998,10000,240,7000,25000,90,7470,9852602
Angola,1999,7402,260,8000,19109,23,7560,10137003
Angola,2000,5776,270,8500,26550,30,7740,10520014
Angola,2001,5335,290,7000,158388,30,7875,10903286
Angola,2002,4890,310,8500,179385,25,8010,10799477
Angola,2003,10831,330,10000,269204,41,8100,12396465
Angola,2004,13000,350,5000,241945,40,8280,13084720
Angola,2005,8650,364.53,8000,307296,22,7920,13824024
Angola,2006,3831,380.05,7859,295142,43,9000,14645031
Angola,2007,4635,395,7301,491216,25,10800,14980444
Angola,2008,8414,406.72,7500,402207,50,13140,14813108
Angola,2009,14291,418.2,7600,823266,39,15660,14512535
Angola,2010,17697,429.27,7100,841279,26,19080,15743882
Angola,2011,23209,439.86,6700,841252,26,22050,16125983
Angola,2012,21492,450,6700,654160,68,25650,17959020
